controller,subadress,timestamp,data,workpiece_gripped
0,9,1566917168708,618.0132,1
0,9,1566917169706,616.3711,1
0,9,1566917170704,618.998,1
0,9,1566917171704,622.0703,1
0,9,1566917172702,625.397,1
0,9,1566917173701,628.5448,1
0,9,1566917174702,632.0204,1
0,9,1566917175700,635.3544,1
0,9,1566917176698,638.7333,1
0,9,1566917177696,642.0445,1
0,9,1566917178693,645.1581,1
0,9,1566917179694,647.6111,1
0,9,1566917180692,650.1204,1
0,9,1566917181692,652.9274,1
0,9,1566917182690,655.9304,1
0,9,1566917183688,658.9547,1
0,9,1566917184688,661.9648,1
0,9,1566917185685,665.1303,1
0,9,1566917186686,668.3892,1
0,9,1566917187683,671.5781,1
0,9,1566917188682,676.5139,1
0,9,1566917189680,962.2867,0
0,9,1566917190678,948.6526,0
0,9,1566917191677,948.726,0
0,9,1566917192676,948.7164,0
0,9,1566917193675,948.6788,0
0,9,1566917194672,948.7082,0
0,9,1566917195673,948.8497,0
0,9,1566917196671,948.705,0
0,9,1566917197670,948.7584,0
0,9,1566917198671,948.6646,0
0,9,1566917199668,948.7335,0
0,9,1566917200668,948.7137,0
0,9,1566917201665,948.6881,0
0,9,1566917202663,948.7131,0
0,9,1566917203662,948.7283,0
0,9,1566917204660,948.8143,0
0,9,1566917205661,948.7397,0
0,9,1566917206658,948.7194,0
0,9,1566917207657,948.7006,0
0,9,1566917208656,948.6543,0
0,9,1566917209655,948.6486,0
0,9,1566917210653,948.6607,0
0,9,1566917211652,948.6301,0
0,9,1566917212650,948.6877,0
0,9,1566917213649,948.8018,0
0,9,1566917214647,948.769,0
0,9,1566917215646,948.649,0
0,9,1566917216647,948.7109,0
0,9,1566917217645,948.7407,0
0,9,1566917218644,948.7872,0
0,9,1566917219641,948.7305,0
0,9,1566917220641,948.7198,0
0,9,1566917221639,948.7266,0
0,9,1566917222639,948.7751,0
0,9,1566917223637,948.6914,0
0,9,1566917224635,948.4116,0
0,9,1566917225633,948.5726,0
0,9,1566917226631,948.8166,0
0,9,1566917227630,948.6953,0
0,9,1566917228628,948.691,0
0,9,1566917229627,948.6703,0
0,9,1566917230626,948.6877,0
0,9,1566917231624,948.6473,0
0,9,1566917232623,948.7012,0
0,9,1566917233621,948.7177,0
0,9,1566917234620,958.049,0
0,9,1566917235618,658.7624,1
0,9,1566917236618,629.7974,1
0,9,1566917237617,629.9516,1
0,9,1566917238616,638.3113,1
0,9,1566917239615,648.5712,1
0,9,1566917240613,662.3301,1
0,9,1566917241612,675.0382,1
0,9,1566917242609,685.993,1
0,9,1566917243608,698.6555,1
0,9,1566917244606,711.3357,1
0,9,1566917245606,732.7906,1
0,9,1566917246604,764.2498,1
0,9,1566917247602,801.936,1
0,9,1566917248600,836.961,1
0,9,1566917249598,895.9734,1
0,9,1566917250597,948.743,1
0,9,1566917251596,948.7064,1
0,9,1566917252594,948.6959,1
0,9,1566917253594,948.7157,1
0,9,1566917254593,948.7275,1
0,9,1566917255590,948.646,1
0,9,1566917256590,948.7955,1
0,9,1566917257589,948.6824,1
0,9,1566917258587,948.7242,1
0,9,1566917259586,967.7637,0
0,9,1566917260585,948.6678,0
0,9,1566917261583,948.6851,0
0,9,1566917262582,948.8065,0
0,9,1566917263581,948.7427,0
0,9,1566917264580,948.7239,0
0,9,1566917265578,948.7262,0
0,9,1566917266577,948.7614,0
0,9,1566917267574,948.7462,0
0,9,1566917268573,948.7454,0
0,9,1566917269572,948.7324,0
0,9,1566917270571,948.7302,0
0,9,1566917271570,948.6912,0
0,9,1566917272568,948.6916,0
0,9,1566917273568,948.8606,0
0,9,1566917274565,948.7036,0
0,9,1566917275565,948.6935,0
0,9,1566917276564,948.8068,0
0,9,1566917277562,948.7577,0
0,9,1566917278561,948.6801,0
0,9,1566917279559,948.7698,0
0,9,1566917280558,948.6733,0
0,9,1566917281556,948.7452,0
0,9,1566917282556,948.7107,0
0,9,1566917283553,948.7505,0
0,9,1566917284553,948.7049,0
0,9,1566917285551,948.7185,0
0,9,1566917286550,948.736,0
0,9,1566917287549,948.6689,0
0,9,1566917288547,948.6082,0
0,9,1566917289546,948.6659,0
0,9,1566917290544,948.6173,0
0,9,1566917291543,948.6619,0
0,9,1566917292541,948.7283,0
0,9,1566917293540,948.7557,0
0,9,1566917294539,948.6918,0
0,9,1566917295538,948.7623,0
0,9,1566917296536,948.62,0
0,9,1566917297534,948.6466,0
0,9,1566917298532,948.845,0
0,9,1566917299531,948.6716,0
0,9,1566917300529,948.7252,0
0,9,1566917301528,948.763,0
0,9,1566917302527,948.7082,0
0,9,1566917303526,948.7593,0
